Title	Photographer	Date	Physical Description	Notes	Type	Subjects	Digital Collection	Shelving Location	Repository	Repository Collection Guide	Cite As	Restrictions	Contact and Ordering Information	Item Number	Item URL	Collection URL	File Name	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Portrait of an unidentified African  American woman	Unknown	1890-1899	1 photographic print on cabinet card; 10 x 15 cm		image	African Americans--Photographs.	Mingo Family African American Photographs, 1887-1955	65:01:00	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).	Finding Aid: http://www.lib.lsu.edu/special/findaid/5113.pdf	Mingo Family African American Photographs, Mss. 5113, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the 'Item number' or 'Item URL' in your request.	511311	See "reference url" on the navigation bar.				2014-01-13	2014-05-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll54/id/43	43	44.jp2	/p16313coll54/image/44.jp2
Portrait of an unidentified African  American woman	Unknown	1890-1899	1 photographic print on cabinet card; 10 x 15 cm		image	African Americans--Photographs.	Mingo Family African American Photographs, 1887-1955	65:01:00	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).	Finding Aid: http://www.lib.lsu.edu/special/findaid/5113.pdf	Mingo Family African American Photographs, Mss. 5113, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the 'Item number' or 'Item URL' in your request.	511312	See "reference url" on the navigation bar.				2014-01-13	2014-05-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll54/id/44	44	45.jp2	/p16313coll54/image/45.jp2
Portrait of an unidentified African  American woman	Unknown	1890-1899	1 photographic print on cabinet card; 10 x 15 cm		image	African Americans--Photographs.	Mingo Family African American Photographs, 1887-1955	65:01:00	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).	Finding Aid: http://www.lib.lsu.edu/special/findaid/5113.pdf	Mingo Family African American Photographs, Mss. 5113, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the 'Item number' or 'Item URL' in your request.	511313	See "reference url" on the navigation bar.				2014-01-13	2014-05-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll54/id/45	45	46.jp2	/p16313coll54/image/46.jp2
Portrait of an unidentified African  American man	Unknown	1890-1899	1 photographic print on cabinet card; 10 x 15 cm		image	African Americans--Photographs.	Mingo Family African American Photographs, 1887-1955	65:01:00	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).	Finding Aid: http://www.lib.lsu.edu/special/findaid/5113.pdf	Mingo Family African American Photographs, Mss. 5113, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the 'Item number' or 'Item URL' in your request.	511314	See "reference url" on the navigation bar.				2014-01-13	2014-05-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll54/id/46	46	47.jp2	/p16313coll54/image/47.jp2
Portrait of an unidentified African  American man	Unknown	1890-1899	1 photographic print on cabinet card; 10 x 15 cm		image	African Americans--Photographs.	Mingo Family African American Photographs, 1887-1955	65:01:00	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).	Finding Aid: http://www.lib.lsu.edu/special/findaid/5113.pdf	Mingo Family African American Photographs, Mss. 5113, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the 'Item number' or 'Item URL' in your request.	511315	See "reference url" on the navigation bar.				2014-01-13	2014-05-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll54/id/47	47	48.jp2	/p16313coll54/image/48.jp2
Portrait of an unidentified African American girl child	Unknown	1890-1899	1 photographic print on cabinet card; 10 x 15 cm		image	African Americans--Photographs.	Mingo Family African American Photographs, 1887-1955	65:01:00	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).	Finding Aid: http://www.lib.lsu.edu/special/findaid/5113.pdf	Mingo Family African American Photographs, Mss. 5113, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the 'Item number' or 'Item URL' in your request.	511316	See "reference url" on the navigation bar.				2014-01-13	2014-05-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll54/id/48	48	49.jp2	/p16313coll54/image/49.jp2
Portrait of an unidentified African American girl child	Unknown	1890-1899	1 photographic print on cabinet card; 10 x 15 cm		image	African Americans--Photographs.	Mingo Family African American Photographs, 1887-1955	65:01:00	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).	Finding Aid: http://www.lib.lsu.edu/special/findaid/5113.pdf	Mingo Family African American Photographs, Mss. 5113, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the 'Item number' or 'Item URL' in your request.	511317	See "reference url" on the navigation bar.				2014-01-13	2014-05-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll54/id/49	49	50.jp2	/p16313coll54/image/50.jp2
Portrait of an unidentified African American boy child	Unknown	1890-1899	1 photographic print on cabinet card; 10 x 15 cm		image	African Americans--Photographs.	Mingo Family African American Photographs, 1887-1955	65:01:00	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).	Finding Aid: http://www.lib.lsu.edu/special/findaid/5113.pdf	Mingo Family African American Photographs, Mss. 5113, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the 'Item number' or 'Item URL' in your request.	511318	See "reference url" on the navigation bar.				2014-01-13	2014-05-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll54/id/50	50	51.jp2	/p16313coll54/image/51.jp2
Portrait of an unidentified African American boy child	Unknown	1890-1899	1 photographic print on cabinet card; 10 x 15 cm		image	African Americans--Photographs.	Mingo Family African American Photographs, 1887-1955	65:01:00	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).	Finding Aid: http://www.lib.lsu.edu/special/findaid/5113.pdf	Mingo Family African American Photographs, Mss. 5113, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the 'Item number' or 'Item URL' in your request.	511319	See "reference url" on the navigation bar.				2014-01-13	2014-05-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll54/id/51	51	52.jp2	/p16313coll54/image/52.jp2
Portrait of an unidentified African American man	Adams & Simon (Studio: New Orleans, La.)	1890-1899	Torn half of a photographic print on cabinet card		image	African Americans--Photographs.	Mingo Family African American Photographs, 1887-1955	65:01:00	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).	Finding Aid: http://www.lib.lsu.edu/special/findaid/5113.pdf	Mingo Family African American Photographs, Mss. 5113, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the 'Item number' or 'Item URL' in your request.	511320	See "reference url" on the navigation bar.				2014-01-13	2014-05-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll54/id/52	52	53.jp2	/p16313coll54/image/53.jp2
Portrait of an unidentified African American man	Unknown	1890-1899	Mounted photographic print		image	African Americans--Photographs.	Mingo Family African American Photographs, 1887-1955	65:01:00	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).	Finding Aid: http://www.lib.lsu.edu/special/findaid/5113.pdf	Mingo Family African American Photographs, Mss. 5113, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the 'Item number' or 'Item URL' in your request.	511321	See "reference url" on the navigation bar.				2014-01-13	2014-05-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll54/id/53	53	54.jp2	/p16313coll54/image/54.jp2
Portrait of three unidentified African American women	Unknown	1890-1899	Mounted photographic print		image	African Americans--Photographs.	Mingo Family African American Photographs, 1887-1955	65:01:00	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).	Finding Aid: http://www.lib.lsu.edu/special/findaid/5113.pdf	Mingo Family African American Photographs, Mss. 5113, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the 'Item number' or 'Item URL' in your request.	511322	See "reference url" on the navigation bar.				2014-01-13	2014-05-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll54/id/54	54	55.jp2	/p16313coll54/image/55.jp2
Portrait of an unidentified African American woman with puppies	Unknown	1900-1910	1 Real photo postcard		image	African Americans--Photographs.	Mingo Family African American Photographs, 1887-1955	65:01:00	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).	Finding Aid: http://www.lib.lsu.edu/special/findaid/5113.pdf	Mingo Family African American Photographs, Mss. 5113, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the 'Item number' or 'Item URL' in your request.	511323	See "reference url" on the navigation bar.				2014-01-13	2014-05-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll54/id/55	55	56.jp2	/p16313coll54/image/56.jp2
Group portrait of six unidentified African American women and men	Arlington Studio (Hot Springs, Ark.)	1905-1915	1 Real photo postcard		image	African Americans--Photographs.	Mingo Family African American Photographs, 1887-1955	65:01:00	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).	Finding Aid: http://www.lib.lsu.edu/special/findaid/5113.pdf	Mingo Family African American Photographs, Mss. 5113, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the 'Item number' or 'Item URL' in your request.	511324	See "reference url" on the navigation bar.				2014-01-13	2014-05-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll54/id/56	56	57.jp2	/p16313coll54/image/57.jp2
Minstrel show cast and musicians on a stage	Stevenson Studio (Cairo, Ill.)	1905-1915	1 Gelatin silver print		image	African Americans--Photographs; Blackface entertainers -- Illinois--Cairo--Photographs; Minstrel shows--Illinois--Cairo--Photographs.	Mingo Family African American Photographs, 1887-1955	65:01:00	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).	Finding Aid: http://www.lib.lsu.edu/special/findaid/5113.pdf	Mingo Family African American Photographs, Mss. 5113, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the 'Item number' or 'Item URL' in your request.	511325	See "reference url" on the navigation bar.				2014-01-13	2014-05-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll54/id/57	57	58.jp2	/p16313coll54/image/58.jp2
Minstrel show cast and musicians on a stage, a second view	Stevenson Studio (Cairo, Ill.)	1905-1915	1 Gelatin silver print		image	African Americans--Photographs; Blackface entertainers -- Illinois--Cairo--Photographs; Minstrel shows--Illinois--Cairo--Photographs.	Mingo Family African American Photographs, 1887-1955	65:01:00	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).	Finding Aid: http://www.lib.lsu.edu/special/findaid/5113.pdf	Mingo Family African American Photographs, Mss. 5113, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the 'Item number' or 'Item URL' in your request.	511326	See "reference url" on the navigation bar.				2014-01-13	2014-05-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll54/id/58	58	59.jp2	/p16313coll54/image/59.jp2
Minstrel show cast on a stage with the band in the orchestra pit	[Stevenson Studio (Cairo, Ill.)]	1905-1915	1 Gelatin silver print		image	African Americans--Photographs; Blackface entertainers -- Illinois--Cairo--Photographs; Minstrel shows--Illinois--Cairo--Photographs.	Mingo Family African American Photographs, 1887-1955	65:01:00	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special).	Finding Aid: http://www.lib.lsu.edu/special/findaid/5113.pdf	Mingo Family African American Photographs, Mss. 5113, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html Mention the 'Item number' or 'Item URL' in your request.	551327	See "reference url" on the navigation bar.				2014-01-13	2014-05-13	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll54/id/59	59	60.jp2	/p16313coll54/image/60.jp2
